a,b,continued
98.61543133,2.002747814,1
89.61655276,5.191398729,1
108.4325348,9.008626535,1
101.7832174,5.846008988,1
102.9144129,8.234044839,1
97.66938937,5.815231325,1
96.10206016,-2.417028744,1
102.0797873,8.036503625,1
98.66270181,4.436737669,1
104.2800004,6.693365882,1
95.91249814,7.53895074,1
102.8728865,5.0549819,1
98.10056628,7.20113436,1
104.8502256,7.510828451,1
99.84276204,1.08370479,1
102.6602196,5.916342899,1
100.4018331,10.5559839,1
100.7449405,6.184490254,1
102.0025775,8.103076863,1
101.0094724,-4.806253502,1
104.0992414,1.602126773,1
100.7569821,6.015716926,1
97.55843853,5.402171518,1
102.8783279,6.898801639,1
105.7945312,6.485333059,1
104.1298965,8.616329891,1
100.5313255,13.02886209,1
94.35890208,11.07575188,1
101.9286073,9.981199801,1
104.7385841,7.970302399,1
82.32845501,6.213391932,0
78.18079376,5.369200664,0
81.2854314,1.733244732,0
80.66555335,-1.137173616,0
81.57327525,5.967715432,0
80.51963364,5.897052869,0
80.73206338,0.938606479,0
82.38103767,3.960930265,0
78.99276352,3.269896363,0
77.18287915,-5.104091834,0
80.54900436,10.81893881,0
86.23486482,2.543095034,0
80.28055344,-0.098328276,0
74.65923591,-2.146682153,0
82.90601733,4.211476974,0
82.32130579,0.579154287,0
81.51766329,1.045903747,0
82.49784995,-3.816289484,0
85.31741258,-1.650225333,0
78.62426039,0.98031249,0
80.68332978,3.838025908,0
83.37983088,-1.454081425,0
89.69177595,-3.10853466,0
75.9352106,0.927983672,0
82.34074187,2.382087691,0
71.2034608,-6.50624257,0
81.62189073,7.67869381,0
82.6170451,0.969009892,0
79.34354318,3.722113913,0
85.19452669,-1.398434798,0
